"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Kirby, George",669923,2024,".236",".396",".287",".288",".266",".160",".356",".357",".320",".311",".009","-0.003","-0.001","71.1",19.2,11.3,8.9,31.6,24.7,"7.1",36,"89","14.8",30.5,8.1
"Crawford, Kutter",676710,2024,".224",".412",".304",".304",".285",".188",".361",".361",".296",".299","-0.001",".007",".000","72.3",29.9,12.9,9.9,30.1,23.1,"7.4",24,"88.4","19.8",33.4,9.9
"Montgomery, Jordan",656756,2024,".287",".443",".370",".347",".350",".156",".413",".382",".373",".347",".025",".053",".023","72",25.5,17.1,12.9,37.8,28.5,"7.6",20,"88.6","12.2",36.6,6
"Skenes, Paul",694973,2024,".193",".297",".247",".248",".253",".105",".328",".330",".307",".301",".005","-0.002","-0.001","70.9",20.1,9.3,6.8,27.6,20,"7.4",19,"87.8","8.4",27.8,5.2
"Patrick, Chad",694477,2025,".259",".421",".317",".327",".335",".162",".361",".375",".319",".336","-0.012","-0.023","-0.010","71.4",19.3,12.9,10.2,30.2,23.9,"7.2",2,"89.2","23.2",36.1,5.6
"Olson, Reese",681857,2025,".241",".378",".280",".313",".331",".136",".309",".361",".307",".330","-0.016","-0.086","-0.033","71.5",20.9,15.4,10.9,39.2,27.9,"7.6",12,"91.6","5.5",30.3,5.6
"Sears, JP",676664,2025,".229",".423",".292",".300",".274",".194",".346",".358",".300",".298",".002","-0.038","-0.008","71.3",19.6,12.7,10.4,30.7,25.2,"7.2",5,"89.2","21.9",32,8
"Pivetta, Nick",601713,2024,".220",".406",".306",".291",".268",".186",".407",".384",".332",".318",".011",".033",".015","71.4",21.8,11.8,9,30.5,23.4,"7.3",20,"89.4","19.4",38.9,10.1
"Alcantara, Sandy",645261,2025,".302",".525",".348",".397",".399",".223",".356",".426",".310",".368","-0.045","-0.099","-0.049","72",26,14.4,11.1,33.8,26,"7.3",5,"91","3.9",35.7,10.7
"Taillon, Jameson",592791,2024,".256",".419",".289",".311",".294",".163",".333",".361",".301",".319","-0.013","-0.032","-0.022","71.9",23,15.8,13.1,37.4,30.9,"7.4",20,"89.7","15.9",32.2,7.2
"Woods Richardson, Simeon",680573,2025,".272",".570",".361",".377",".324",".298",".451",".475",".397",".366",".024","-0.090","-0.016","71.6",24.2,18.6,14.2,33.8,25.8,"7.1",2,"91.7","21.2",42.5,19.2
"Martinez, Nick",607259,2024,".242",".365",".279",".278",".272",".123",".332",".332",".300",".307","-0.005",".012",".001","71.4",21.8,11.4,8.9,31.2,24.5,"7.4",15,"86.4","17",34,5.1
"Peralta, Freddy",642547,2024,".224",".377",".305",".305",".308",".153",".375",".374",".323",".326",".000",".010",".000","71.1",20.3,11.7,8.3,27.9,19.8,"7.2",25,"87.6","17.3",35.3,8.7
"Ragans, Cole",666142,2025,".192",".334",".306",".258",".254",".142",".449",".363",".380",".313",".043",".075",".048","71.4",18.4,11,7.6,28.6,19.7,"7.3",8,"88","18",29.2,8.3
"Sale, Chris",519242,2025,".238",".392",".375",".308",".307",".155",".489",".384",".434",".341",".065",".095",".067","70.9",23.9,9.8,7.4,25.9,19.6,"7.5",8,"88.2","17.4",38.1,9.5
"Paddack, Chris",663978,2025,".251",".456",".337",".340",".331",".205",".364",".369",".310",".307",".006","-0.018","-0.003","71",21.7,11.8,9.9,29.8,25,"7.2",3,"90","13.2",33.3,8
"King, Michael",650633,2024,".226",".360",".284",".293",".301",".134",".349",".364",".318",".326","-0.005","-0.014","-0.009","71.5",22.6,9.1,6.6,25.2,18.1,"7.4",25,"85.7","13.8",35.2,6.2
"Warren, Will",701542,2025,".275",".454",".333",".349",".353",".179",".397",".422",".328",".373","-0.033","-0.014","-0.016","71.3",22.9,20.8,14.4,39.6,27.5,"7.3",6,"92.7","11.3",37.3,11.9
"Severino, Luis",622663,2024,".240",".376",".308",".305",".311",".136",".350",".346",".317",".313",".003",".007",".003","71.6",22.6,10.8,8.6,28.3,22.4,"7.1",28,"87.1","12.7",30.4,5.7
"Blanco, Ronel",669854,2025,".214",".395",".315",".305",".303",".181",".350",".336",".287",".279",".007",".009",".010","71.6",24.8,11.7,7.9,32.8,22.3,"7.7",5,"87.4","20.3",23.8,10
"Houck, Tanner",656557,2025,".286",".464",".394",".360",".361",".178",".448",".401",".396",".359",".033",".049",".034","71.4",24.7,21,16.1,38.5,29.6,"7.3",4,"91.3","7.1",31.3,6.3
"Bibee, Tanner",676440,2025,".240",".475",".363",".345",".323",".235",".405",".379",".302",".301",".002",".042",".018","71.6",21.2,13.4,10.8,29.3,23.6,"7.3",4,"88","11.6",27.1,11.5
